Timer(TeamPoolX<1>[SameNumber | 23]): <t> = 222.724ms, std = 0ms, 222.724ms <= t <= 222.724ms (n=1)
Timer(TeamNewProcessesX<1>[SameNumber | 23]): <t> = 33.3297s, std = 0s, 33.3297s <= t <= 33.3297s (n=1)
Timer(TeamConstProcessesX<1>[SameNumber | 23]): <t> = 6.3913s, std = 0s, 6.3913s <= t <= 6.3913s (n=1)
Timer(TeamNewThreadsX<2>[SameNumber | 23]): <t> = 0.521354s, std = 0s, 0.521354s <= t <= 0.521354s (n=1)
Timer(TeamConstThreadsX<2>[SameNumber | 23]): <t> = 70.1563ms, std = 0ms, 70.1563ms <= t <= 70.1563ms (n=1)
Timer(TeamPoolX<2>[SameNumber | 23]): <t> = 149.961ms, std = 0ms, 149.961ms <= t <= 149.961ms (n=1)
Timer(TeamNewProcessesX<2>[SameNumber | 23]): <t> = 18.8267s, std = 0s, 18.8267s <= t <= 18.8267s (n=1)
Timer(TeamConstProcessesX<2>[SameNumber | 23]): <t> = 3.31938s, std = 0s, 3.31938s <= t <= 3.31938s (n=1)
Timer(TeamNewThreadsX<3>[SameNumber | 23]): <t> = 0.655777s, std = 0s, 0.655777s <= t <= 0.655777s (n=1)
Timer(TeamConstThreadsX<3>[SameNumber | 23]): <t> = 76.2597ms, std = 0ms, 76.2597ms <= t <= 76.2597ms (n=1)
Timer(TeamPoolX<3>[SameNumber | 23]): <t> = 153.653ms, std = 0ms, 153.653ms <= t <= 153.653ms (n=1)
Timer(TeamNewProcessesX<3>[SameNumber | 23]): <t> = 13.1791s, std = 0s, 13.1791s <= t <= 13.1791s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 23]): <t> = 2.84233s, std = 0s, 2.84233s <= t <= 2.84233s (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 23]): <t> = 0.564407s, std = 0s, 0.564407s <= t <= 0.564407s (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 23]): <t> = 85.5652ms, std = 0ms, 85.5652ms <= t <= 85.5652ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 23]): <t> = 215.952ms, std = 0ms, 215.952ms <= t <= 215.952ms (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 23]): <t> = 14.3686s, std = 0s, 14.3686s <= t <= 14.3686s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 23]): <t> = 2.26755s, std = 0s, 2.26755s <= t <= 2.26755s (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 23]): <t> = 0.564184s, std = 0s, 0.564184s <= t <= 0.564184s (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 23]): <t> = 154.578ms, std = 0ms, 154.578ms <= t <= 154.578ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 23]): <t> = 0.301661s, std = 0s, 0.301661s <= t <= 0.301661s (n=1)
