Timer(TeamNewThreadsX<3>[SameNumber | 5]): <t> = 0.270936s, std = 0s, 0.270936s <= t <= 0.270936s (n=1)
Timer(TeamConstThreadsX<3>[SameNumber | 5]): <t> = 28.8391ms, std = 0ms, 28.8391ms <= t <= 28.8391ms (n=1)
Timer(TeamPoolX<3>[SameNumber | 5]): <t> = 77.7111ms, std = 0ms, 77.7111ms <= t <= 77.7111ms (n=1)
Timer(TeamNewProcessesX<3>[SameNumber | 5]): <t> = 11.3635s, std = 0s, 11.3635s <= t <= 11.3635s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 5]): <t> = 243.105ms, std = 0ms, 243.105ms <= t <= 243.105ms (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 5]): <t> = 0.280488s, std = 0s, 0.280488s <= t <= 0.280488s (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 5]): <t> = 30.1023ms, std = 0ms, 30.1023ms <= t <= 30.1023ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 5]): <t> = 89.5608ms, std = 0ms, 89.5608ms <= t <= 89.5608ms (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 5]): <t> = 9.92511s, std = 0s, 9.92511s <= t <= 9.92511s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 5]): <t> = 200.331ms, std = 0ms, 200.331ms <= t <= 200.331ms (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 5]): <t> = 0.257824s, std = 0s, 0.257824s <= t <= 0.257824s (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 5]): <t> = 39.1209ms, std = 0ms, 39.1209ms <= t <= 39.1209ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 5]): <t> = 70.747ms, std = 0ms, 70.747ms <= t <= 70.747ms (n=1)
Timer(TeamNewProcessesX<7>[SameNumber | 5]): <t> = 10.19s, std = 0s, 10.19s <= t <= 10.19s (n=1)
Timer(TeamConstProcessesX<7>[SameNumber | 5]): <t> = 135.503ms, std = 0ms, 135.503ms <= t <= 135.503ms (n=1)
Timer(TeamNewThreadsX<10>[SameNumber | 5]): <t> = 235.605ms, std = 0ms, 235.605ms <= t <= 235.605ms (n=1)
Timer(TeamConstThreadsX<10>[SameNumber | 5]): <t> = 48.9999ms, std = 0ms, 48.9999ms <= t <= 48.9999ms (n=1)
Timer(TeamPoolX<10>[SameNumber | 5]): <t> = 78.8824ms, std = 0ms, 78.8824ms <= t <= 78.8824ms (n=1)
Timer(TeamNewProcessesX<10>[SameNumber | 5]): <t> = 10.387s, std = 0s, 10.387s <= t <= 10.387s (n=1)
Timer(TeamConstProcessesX<10>[SameNumber | 5]): <t> = 136.639ms, std = 0ms, 136.639ms <= t <= 136.639ms (n=1)
Timer(TeamAsyncX<1>[SameNumber | 5]): <t> = 0.257978s, std = 0s, 0.257978s <= t <= 0.257978s (n=1)
Timer(CalcCollatzSoloTimer): <t> = 0.271674ms, std = 0.0138811ms, 0.241018ms <= t <= 0.457849ms (n=23977)
Timer(TeamSolo<1>[SameNumber | 23]): <t> = 6.5354s, std = 0s, 6.5354s <= t <= 6.5354s (n=1)
Timer(TeamNewThreads<1>[SameNumber | 23]): <t> = 1.19351s, std = 0s, 1.19351s <= t <= 1.19351s (n=1)
Timer(TeamConstThreads<1>[SameNumber | 23]): <t> = 6.89843s, std = 0s, 6.89843s <= t <= 6.89843s (n=1)
Timer(TeamPool<1>[SameNumber | 23]): <t> = 6.85525s, std = 0s, 6.85525s <= t <= 6.85525s (n=1)
Timer(TeamNewProcesses<1>[SameNumber | 23]): <t> = 150.563s, std = 0s, 150.563s <= t <= 150.563s (n=1)
Timer(TeamConstProcesses<1>[SameNumber | 23]): <t> = 6.49181s, std = 0s, 6.49181s <= t <= 6.49181s (n=1)
Timer(TeamNewThreads<2>[SameNumber | 23]): <t> = 1.19923s, std = 0s, 1.19923s <= t <= 1.19923s (n=1)
Timer(TeamConstThreads<2>[SameNumber | 23]): <t> = 3.516s, std = 0s, 3.516s <= t <= 3.516s (n=1)
Timer(TeamPool<2>[SameNumber | 23]): <t> = 3.51915s, std = 0s, 3.51915s <= t <= 3.51915s (n=1)
Timer(TeamNewProcesses<2>[SameNumber | 23]): <t> = 76.3395s, std = 0s, 76.3395s <= t <= 76.3395s (n=1)
Timer(TeamConstProcesses<2>[SameNumber | 23]): <t> = 3.3283s, std = 0s, 3.3283s <= t <= 3.3283s (n=1)
Timer(TeamNewThreads<3>[SameNumber | 23]): <t> = 1.1714s, std = 0s, 1.1714s <= t <= 1.1714s (n=1)
Timer(TeamConstThreads<3>[SameNumber | 23]): <t> = 2.30834s, std = 0s, 2.30834s <= t <= 2.30834s (n=1)
Timer(TeamPool<3>[SameNumber | 23]): <t> = 2.37986s, std = 0s, 2.37986s <= t <= 2.37986s (n=1)
Timer(TeamNewProcesses<3>[SameNumber | 23]): <t> = 59.0763s, std = 0s, 59.0763s <= t <= 59.0763s (n=1)
Timer(TeamConstProcesses<3>[SameNumber | 23]): <t> = 2.36505s, std = 0s, 2.36505s <= t <= 2.36505s (n=1)
Timer(TeamNewThreads<4>[SameNumber | 23]): <t> = 1.10333s, std = 0s, 1.10333s <= t <= 1.10333s (n=1)
Timer(TeamConstThreads<4>[SameNumber | 23]): <t> = 1.7677s, std = 0s, 1.7677s <= t <= 1.7677s (n=1)
Timer(TeamPool<4>[SameNumber | 23]): <t> = 1.8201s, std = 0s, 1.8201s <= t <= 1.8201s (n=1)
Timer(TeamNewProcesses<4>[SameNumber | 23]): <t> = 56.1029s, std = 0s, 56.1029s <= t <= 56.1029s (n=1)
Timer(TeamConstProcesses<4>[SameNumber | 23]): <t> = 1.87144s, std = 0s, 1.87144s <= t <= 1.87144s (n=1)
Timer(TeamNewThreads<7>[SameNumber | 23]): <t> = 1.24014s, std = 0s, 1.24014s <= t <= 1.24014s (n=1)
Timer(TeamConstThreads<7>[SameNumber | 23]): <t> = 1.13121s, std = 0s, 1.13121s <= t <= 1.13121s (n=1)
Timer(TeamPool<7>[SameNumber | 23]): <t> = 1.06277s, std = 0s, 1.06277s <= t <= 1.06277s (n=1)
Timer(TeamNewProcesses<7>[SameNumber | 23]): <t> = 56.6933s, std = 0s, 56.6933s <= t <= 56.6933s (n=1)
Timer(TeamConstProcesses<7>[SameNumber | 23]): <t> = 1.06862s, std = 0s, 1.06862s <= t <= 1.06862s (n=1)
Timer(TeamNewThreads<10>[SameNumber | 23]): <t> = 1.17689s, std = 0s, 1.17689s <= t <= 1.17689s (n=1)
Timer(TeamConstThreads<10>[SameNumber | 23]): <t> = 0.870882s, std = 0s, 0.870882s <= t <= 0.870882s (n=1)
Timer(TeamPool<10>[SameNumber | 23]): <t> = 0.760255s, std = 0s, 0.760255s <= t <= 0.760255s (n=1)
Timer(TeamNewProcesses<10>[SameNumber | 23]): <t> = 57.4502s, std = 0s, 57.4502s <= t <= 57.4502s (n=1)
Timer(TeamConstProcesses<10>[SameNumber | 23]): <t> = 0.745962s, std = 0s, 0.745962s <= t <= 0.745962s (n=1)
Timer(TeamAsync<1>[SameNumber | 23]): <t> = 1.43269s, std = 0s, 1.43269s <= t <= 1.43269s (n=1)
Timer(TeamNewThreadsX<1>[SameNumber | 23]): <t> = 1.13284s, std = 0s, 1.13284s <= t <= 1.13284s (n=1)
Timer(TeamConstThreadsX<1>[SameNumber | 23]): <t> = 83.8487ms, std = 0ms, 83.8487ms <= t <= 83.8487ms (n=1)
Timer(TeamPoolX<1>[SameNumber | 23]): <t> = 0.439057s, std = 0s, 0.439057s <= t <= 0.439057s (n=1)
Timer(TeamNewProcessesX<1>[SameNumber | 23]): <t> = 159.195s, std = 0s, 159.195s <= t <= 159.195s (n=1)
Timer(TeamConstProcessesX<1>[SameNumber | 23]): <t> = 7.49957s, std = 0s, 7.49957s <= t <= 7.49957s (n=1)
Timer(TeamNewThreadsX<2>[SameNumber | 23]): <t> = 1.02862s, std = 0s, 1.02862s <= t <= 1.02862s (n=1)
Timer(TeamConstThreadsX<2>[SameNumber | 23]): <t> = 93.8106ms, std = 0ms, 93.8106ms <= t <= 93.8106ms (n=1)
Timer(TeamPoolX<2>[SameNumber | 23]): <t> = 0.27505s, std = 0s, 0.27505s <= t <= 0.27505s (n=1)
Timer(TeamNewProcessesX<2>[SameNumber | 23]): <t> = 76.598s, std = 0s, 76.598s <= t <= 76.598s (n=1)
Timer(TeamConstProcessesX<2>[SameNumber | 23]): <t> = 3.9101s, std = 0s, 3.9101s <= t <= 3.9101s (n=1)
Timer(TeamNewThreadsX<3>[SameNumber | 23]): <t> = 0.945607s, std = 0s, 0.945607s <= t <= 0.945607s (n=1)
Timer(TeamConstThreadsX<3>[SameNumber | 23]): <t> = 91.9616ms, std = 0ms, 91.9616ms <= t <= 91.9616ms (n=1)
Timer(TeamPoolX<3>[SameNumber | 23]): <t> = 0.293413s, std = 0s, 0.293413s <= t <= 0.293413s (n=1)
Timer(TeamNewProcessesX<3>[SameNumber | 23]): <t> = 57.683s, std = 0s, 57.683s <= t <= 57.683s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 23]): <t> = 2.65748s, std = 0s, 2.65748s <= t <= 2.65748s (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 23]): <t> = 1.08183s, std = 0s, 1.08183s <= t <= 1.08183s (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 23]): <t> = 93.4257ms, std = 0ms, 93.4257ms <= t <= 93.4257ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 23]): <t> = 0.307673s, std = 0s, 0.307673s <= t <= 0.307673s (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 23]): <t> = 57.8471s, std = 0s, 57.8471s <= t <= 57.8471s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 23]): <t> = 1.94001s, std = 0s, 1.94001s <= t <= 1.94001s (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 23]): <t> = 1.20057s, std = 0s, 1.20057s <= t <= 1.20057s (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 23]): <t> = 135.855ms, std = 0ms, 135.855ms <= t <= 135.855ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 23]): <t> = 0.317778s, std = 0s, 0.317778s <= t <= 0.317778s (n=1)
Timer(TeamNewProcessesX<7>[SameNumber | 23]): <t> = 57.1488s, std = 0s, 57.1488s <= t <= 57.1488s (n=1)
Timer(TeamConstProcessesX<7>[SameNumber | 23]): <t> = 1.18562s, std = 0s, 1.18562s <= t <= 1.18562s (n=1)
Timer(TeamNewThreadsX<10>[SameNumber | 23]): <t> = 0.983841s, std = 0s, 0.983841s <= t <= 0.983841s (n=1)
Timer(TeamConstThreadsX<10>[SameNumber | 23]): <t> = 171.859ms, std = 0ms, 171.859ms <= t <= 171.859ms (n=1)
Timer(TeamPoolX<10>[SameNumber | 23]): <t> = 249.307ms, std = 0ms, 249.307ms <= t <= 249.307ms (n=1)
Timer(TeamNewProcessesX<10>[SameNumber | 23]): <t> = 51.5898s, std = 0s, 51.5898s <= t <= 51.5898s (n=1)
Timer(TeamConstProcessesX<10>[SameNumber | 23]): <t> = 0.874733s, std = 0s, 0.874733s <= t <= 0.874733s (n=1)
Timer(TeamAsyncX<1>[SameNumber | 23]): <t> = 1.06966s, std = 0s, 1.06966s <= t <= 1.06966s (n=1)
Timer(CalcCollatzSoloTimer): <t> = 0.819189ms, std = 0.65165ms, 0.05019ms <= t <= 2.30188ms (n=298)
Timer(TeamSolo<1>[ShortNumber | 2]): <t> = 244.471ms, std = 0ms, 244.471ms <= t <= 244.471ms (n=1)
Timer(TeamNewThreads<1>[ShortNumber | 2]): <t> = 19.8948ms, std = 0ms, 19.8948ms <= t <= 19.8948ms (n=1)
Timer(TeamConstThreads<1>[ShortNumber | 2]): <t> = 0.26058s, std = 0s, 0.26058s <= t <= 0.26058s (n=1)
Timer(TeamPool<1>[ShortNumber | 2]): <t> = 0.260033s, std = 0s, 0.260033s <= t <= 0.260033s (n=1)
Timer(TeamNewProcesses<1>[ShortNumber | 2]): <t> = 1.92963s, std = 0s, 1.92963s <= t <= 1.92963s (n=1)
Timer(TeamConstProcesses<1>[ShortNumber | 2]): <t> = 0.263674s, std = 0s, 0.263674s <= t <= 0.263674s (n=1)
Timer(TeamNewThreads<2>[ShortNumber | 2]): <t> = 23.5326ms, std = 0ms, 23.5326ms <= t <= 23.5326ms (n=1)
Timer(TeamConstThreads<2>[ShortNumber | 2]): <t> = 149.586ms, std = 0ms, 149.586ms <= t <= 149.586ms (n=1)
Timer(TeamPool<2>[ShortNumber | 2]): <t> = 138.655ms, std = 0ms, 138.655ms <= t <= 138.655ms (n=1)
Timer(TeamNewProcesses<2>[ShortNumber | 2]): <t> = 0.994147s, std = 0s, 0.994147s <= t <= 0.994147s (n=1)
Timer(TeamConstProcesses<2>[ShortNumber | 2]): <t> = 146.548ms, std = 0ms, 146.548ms <= t <= 146.548ms (n=1)
Timer(TeamNewThreads<3>[ShortNumber | 2]): <t> = 26.2681ms, std = 0ms, 26.2681ms <= t <= 26.2681ms (n=1)
Timer(TeamConstThreads<3>[ShortNumber | 2]): <t> = 91.1356ms, std = 0ms, 91.1356ms <= t <= 91.1356ms (n=1)
